,Dhalsim,Boxer,Claw,Ryu,Chun-Li,Guile,Dee Jay,Dictator,Sagat,E. Honda,Ken,Fei-Long,Zangief,Blanka,Cammy,T. Hawk
Dhalsim,0.5,0.55,0.35,0.7,0.5,0.85,0.8,0.65,0.9,0.65,0.75,0.65,0.75,0.8,0.65,0.65
Boxer,0.45,0.5,0.55,0.6,0.45,0.6,0.7,0.65,0.8,0.65,0.65,0.7,0.55,0.75,0.75,0.55
Claw,0.65,0.45,0.5,0.6,0.6,0.7,0.6,0.5,0.75,0.6,0.6,0.65,0.65,0.65,0.6,0.7
Ryu,0.3,0.4,0.4,0.5,0.6,0.65,0.7,0.65,0.65,0.8,0.65,0.65,0.45,0.75,0.75,0.6
Chun-Li,0.5,0.55,0.4,0.4,0.5,0.6,0.65,0.7,0.65,0.75,0.65,0.4,0.75,0.7,0.6,0.55
Guile,0.15,0.4,0.3,0.35,0.4,0.5,0.55,0.55,0.65,0.8,0.65,0.75,0.8,0.6,0.8,0.65
Dee Jay,0.2,0.3,0.4,0.3,0.35,0.45,0.5,0.65,0.55,0.85,0.5,0.75,0.45,0.75,0.8,0.7
Dictator,0.35,0.35,0.5,0.35,0.3,0.45,0.35,0.5,0.65,0.35,0.4,0.65,0.45,0.35,0.8,0.7
Sagat,0.1,0.2,0.25,0.35,0.35,0.35,0.45,0.35,0.5,0.65,0.5,0.65,0.6,0.8,0.7,0.65
E. Honda,0.35,0.35,0.4,0.2,0.25,0.2,0.15,0.65,0.35,0.5,0.3,0.7,0.85,0.75,0.8,0.65
Ken,0.25,0.35,0.4,0.35,0.35,0.35,0.5,0.6,0.5,0.7,0.5,0.45,0.4,0.5,0.5,0.55
Fei-Long,0.35,0.3,0.35,0.35,0.6,0.25,0.25,0.35,0.35,0.3,0.55,0.5,0.7,0.65,0.7,0.7
Zangief,0.25,0.45,0.35,0.55,0.25,0.2,0.55,0.55,0.4,0.15,0.6,0.3,0.5,0.4,0.35,0.55
Blanka,0.2,0.25,0.35,0.25,0.3,0.4,0.25,0.65,0.2,0.25,0.5,0.35,0.6,0.5,0.4,0.7
Cammy,0.35,0.25,0.4,0.25,0.4,0.2,0.2,0.2,0.3,0.2,0.5,0.3,0.65,0.6,0.5,0.85
T. Hawk,0.35,0.45,0.3,0.4,0.45,0.35,0.3,0.3,0.35,0.35,0.45,0.3,0.45,0.3,0.15,0.5
