,Dhalsim,Boxer,Claw,Ryu,Chun-Li,Guile,Dee Jay,Dictator,Sagat,E. Honda,Fei-Long,Ken,Zangief,Cammy,Blanka,T. Hawk
Dhalsim,5.0000,4.8718,2.8535,6.2022,4.0118,7.7130,6.8259,4.3447,7.7854,4.2706,4.1433,5.3387,4.7233,3.4029,5.2742,3.2387
Boxer,5.1282,5.0000,5.3833,5.7459,4.1356,5.3457,6.1743,4.9708,6.6780,4.8953,5.3348,4.7703,3.1935,5.1737,5.1851,2.8855
Claw,7.1465,4.6167,5.0000,5.8605,5.7541,6.5190,5.2096,3.5809,6.1245,4.4809,4.8823,4.3575,4.2768,3.5973,4.1134,4.4800
Ryu,3.7978,4.2541,4.1395,5.0000,5.8946,6.1229,6.4188,5.2327,5.0896,6.9640,5.0268,5.0323,2.5860,5.4349,5.4462,3.5599
Chun-Li,5.9882,5.8644,4.2459,4.1054,5.0000,5.7128,5.9844,5.9029,5.1988,6.4251,2.7487,5.1416,5.7194,3.8343,4.9284,3.1998
Guile,2.2870,4.6543,3.4810,3.8771,4.2872,5.0000,5.2473,4.5932,5.4932,7.2955,6.5755,5.4364,6.6726,6.5117,4.1287,4.4593
Dee Jay,3.1741,3.8257,4.7904,3.5812,4.0156,4.7527,5.0000,5.8830,4.7035,8.0881,6.8007,4.1524,3.1228,6.7389,6.0891,5.2817
Dictator,5.6553,5.0292,6.4191,4.7673,4.0971,5.4068,4.1170,5.0000,6.3685,3.4316,6.3102,3.8090,3.7113,7.2868,2.6642,5.9264
Sagat,2.2146,3.3220,3.8755,4.9104,4.8012,4.5068,5.2965,3.6315,5.0000,6.5615,6.4426,4.9427,5.3397,6.2393,7.4074,5.5082
E. Honda,5.7294,5.1047,5.5191,3.0360,3.5749,2.7045,1.9119,6.5684,3.4385,5.0000,6.8891,2.8959,8.0816,7.3461,6.7590,5.4409
Fei-Long,5.8567,4.6652,5.1177,4.9732,7.2513,3.4245,3.1993,3.6898,3.5574,3.1109,5.0000,5.5054,6.4635,6.2981,5.7632,6.1239
Ken,4.6613,5.2297,5.6425,4.9677,4.8584,4.5636,5.8476,6.1910,5.0573,7.1041,4.4946,5.0000,3.4256,4.2114,4.2225,4.5228
Zangief,5.2767,6.8065,5.7232,7.4140,4.2806,3.3274,6.8772,6.2887,4.6603,1.9184,3.5365,6.5744,5.0000,3.3388,3.8401,5.1374
Cammy,6.5971,4.8263,6.4027,4.5651,6.1657,3.4883,3.2611,2.7132,3.7607,2.6539,3.7019,5.7886,6.6612,5.0000,6.0109,8.4031
Blanka,4.7258,4.8149,5.8866,4.5538,5.0716,5.8713,3.9109,7.3358,2.5926,3.2410,4.2368,5.7775,6.1599,3.9891,5.0000,6.8324
T. Hawk,6.7613,7.1145,5.5200,6.4401,6.8002,5.5407,4.7183,4.0736,4.4918,4.5591,3.8761,5.4772,4.8626,1.5969,3.1676,5.0000
