,1,2,3,4,5,6,7,8,9,10
1,1.3117,0.5369,0.6164,0.7384,0.8340,0.9731,1.0455,1.1919,1.2837,1.4686,1.0000
2,1.7399,1.2820,0.9811,0.5877,0.6637,0.7745,0.8321,0.9486,1.0216,1.1688,1.2565
3,1.4298,1.4046,1.2093,0.9659,1.0908,0.6364,0.6837,0.7795,0.8395,0.9605,1.5290
4,1.1386,1.3982,1.2840,1.1538,0.8687,1.0136,1.0890,0.6207,0.6686,0.7649,1.9201
5,0.9404,1.1547,1.0605,1.2705,1.0761,0.8371,0.8994,1.0253,1.1043,0.6317,2.3248
6,0.8055,0.9891,1.1355,1.0883,1.2291,1.0756,0.7704,0.8783,0.9459,1.0822,2.7140
7,0.7497,0.9207,1.0569,1.0130,1.1440,1.3349,1.0756,0.8175,0.8805,1.0073,2.9159
8,0.6803,0.8354,0.9590,1.1490,1.0381,1.2112,1.3013,1.1127,0.7989,0.9140,3.2135
9,0.6317,0.7757,0.8904,1.0668,0.9638,1.1246,1.2083,1.3775,1.1127,0.8486,3.4610
10,0.5724,0.7028,0.8068,0.9666,1.0917,1.0190,1.0948,1.2481,1.3443,1.1534,3.8196
,1.0000,1.2280,1.4097,1.6889,1.9073,2.2255,2.3910,2.7259,2.9359,3.3588
